,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
357,0.0,0.0,461584,0,0,0,0,0,3,0.0,0.0,0,Wanya,0.0,297,False,Loaned to De Graafschap,2024-08-31T06:21:32.289998Z,45,461584.jpg,0.0,Marçal-Madivádua,0.0,False,,u,11,13,0,754,0,3927,62,0.0,0.0,Marcal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,568,235,567,241,539,227,571,238,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,406,243,524,203,574,241,599,258,0.0,0.0
358,,,154048,0,0,-2,2,0,3,2.0,2.0,1,Stephy,2.0,298,False,,,53,154048.jpg,3.1,Mavididi,1.1,False,,a,11,13,28,155022,3221,98061,8947,0.4,5.3,Mavididi,241.0,538,2,0,1,9,0,0,0,1,0,0,3,93,114.0,131.0,100.0,34.1,6,0.77,1.52,2.29,11.32,160,59,69,55,89,58,93,59,,,1.0,,3.0,,0.13,0.0,0.25,0.38,1.89,1.51,153,89,180,84,112,43,194,61,1.0,0.17
359,,,461587,0,0,-2,2,0,3,0.0,0.0,0,Kasey,0.0,299,False,,,48,461587.jpg,1.0,McAteer,0.0,False,,a,11,13,3,1788,53,3748,106,0.0,0.6,McAteer,104.0,10,0,0,0,0,0,0,0,0,0,0,0,6,5.2,0.5,6.0,1.1,0,0.02,0.00,0.02,0.20,399,194,397,210,327,179,414,204,,,,,,,0.18,0.0,0.0,0.18,1.8,0.0,321,213,592,255,375,183,549,223,0.0,0.0
360,,,203341,0,0,0,0,1,3,2.0,2.0,2,Wilfred,2.0,300,False,,,50,203341.jpg,3.0,Ndidi,0.6,False,,a,11,13,27,96791,2016,60076,4122,0.4,5.4,Ndidi,157.0,776,0,4,1,15,1,0,0,3,0,0,1,155,223.4,116.8,104.0,44.4,9,0.28,0.95,1.23,16.73,29,9,88,65,85,54,51,34,,,,,,,0.03,0.0,0.11,0.14,1.94,1.74,204,128,175,79,124,48,240,76,1.04,0.12
361,,,473341,0,0,0,0,0,2,3.0,3.0,1,Caleb,3.0,301,False,,,40,473341.jpg,1.9,Okoli,1.1,False,,a,11,13,13,120042,21332,28819,3217,0.8,3.2,Okoli,106.0,630,0,0,1,13,0,0,0,1,0,0,1,72,194.8,6.6,36.0,23.7,7,0.14,0.04,0.18,14.93,57,20,347,112,202,50,174,50,,,,,,,0.02,0.0,0.01,0.03,2.13,1.86,634,189,91,28,231,75,190,70,1.0,0.14
362,,,111931,0,0,-2,2,0,2,0.0,0.0,0,Ricardo,0.0,302,False,,,43,111931.jpg,0.0,Barbosa Pereira,0.1,False,,a,11,13,0,3415,166,14890,339,0.0,0.0,Ricardo,173.0,67,0,0,0,3,0,0,0,1,0,0,0,1,9.4,2.3,0.0,1.2,1,0.00,0.02,0.02,1.08,378,135,374,127,462,176,409,138,,,,,,,0.0,0.0,0.03,0.03,1.45,4.03,543,129,449,170,518,189,425,156,1.34,0.0
363,0.0,0.0,194190,0,0,0,0,0,2,0.0,0.0,0,Harry,0.0,303,False,Season long loan to Sheffield United,2024-08-07T08:21:01.638839Z,40,194190.jpg,0.0,Souttar,0.0,False,,u,11,13,0,0,0,1256,22,0.0,0.0,Souttar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,456,156,442,156,395,133,459,156,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,599,170,380,124,462,154,627,210,0.0,0.0
364,0.0,0.0,436680,0,0,0,0,0,1,0.0,0.0,0,Jakub,0.0,304,False,Ankle injury - Expected back 25 Jan,2024-07-25T11:00:04.015354Z,40,436680.jpg,0.0,Stolarczyk,0.0,False,,i,11,13,0,3154,85,3322,80,0.0,0.0,Stolarczyk,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,472,49,459,31,414,23,475,49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,620,61,397,45,477,49,523,65,0.0,0.0
365,,,244619,0,0,-1,1,0,2,0.0,0.0,0,Luke,0.0,305,False,,,39,244619.jpg,0.0,Thomas,0.9,False,,a,11,13,0,62351,15084,35950,2936,0.0,0.0,Thomas,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,437,148,421,147,372,122,440,148,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,667,217,358,113,443,146,211,78,0.0,0.0
366,100.0,100.0,101668,0,0,2,-2,0,4,5.3,5.3,8,Jamie,5.3,306,False,,2024-08-12T14:30:04.652324Z,57,101668.jpg,4.2,Vardy,11.4,False,,a,11,13,38,1749377,52727,936258,21837,0.9,6.7,Vardy,241.0,753,4,0,1,17,0,0,0,3,0,0,7,145,162.2,71.9,172.0,40.4,9,3.47,0.16,3.63,17.90,77,12,144,14,38,16,67,15,,,,,1.0,,0.41,0.0,0.02,0.43,2.14,2.03,94,28,27,8,41,12,38,9,1.08,0.12
367,100.0,0.0,93100,0,0,0,0,0,2,0.0,0.0,0,Jannik,0.0,307,False,,2024-10-24T16:30:05.805561Z,40,93100.jpg,1.0,Vestergaard,2.0,False,,a,11,13,2,210874,149,202882,11166,0.0,0.5,Vestergaard,58.0,180,0,0,0,3,0,0,0,1,0,0,0,7,37.8,0.6,7.0,4.5,2,0.01,0.00,0.01,3.01,305,108,394,138,313,100,351,113,,,,,,,0.0,0.0,0.0,0.0,1.5,1.5,583,160,367,117,330,106,138,51,1.0,0.0
368,,,95463,0,0,0,0,0,1,0.0,0.0,0,Danny,0.0,308,False,,,40,95463.jpg,0.0,Ward,2.3,False,,a,11,13,0,72457,1448,94916,2616,0.0,0.0,Ward,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,446,35,432,16,383,8,449,35,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,585,46,369,31,453,35,128,18,0.0,0.0
369,,,157668,0,0,0,0,0,3,2.3,2.3,4,Harry,2.3,309,False,,,45,157668.jpg,2.2,Winks,13.2,False,,a,11,13,18,1043534,41250,1010083,22969,0.5,4.0,Winks,241.0,675,0,2,0,15,0,0,0,3,0,0,0,121,138.4,189.3,4.0,33.3,7,0.04,1.12,1.16,15.01,121,42,33,28,339,187,97,60,2.0,,,,,,0.01,0.0,0.15,0.16,2.0,2.0,368,231,138,59,195,82,28,9,0.93,0.0
370,,,209042,0,0,-1,1,0,3,1.3,1.3,0,Oliver,1.3,501,False,,,49,209042.jpg,1.5,Skipp,0.0,False,,a,11,13,9,3001,93,4117,188,0.3,1.8,Skipp,241.0,401,0,0,1,8,0,0,0,2,0,0,0,47,50.0,47.7,9.0,10.6,5,0.05,0.21,0.26,11.57,278,127,206,132,307,168,289,143,,,,,,,0.01,0.0,0.05,0.06,2.6,1.8,269,178,220,107,285,134,520,204,1.12,0.22
371,,,531442,0,0,-1,1,0,3,2.3,2.3,2,Abdul,2.3,570,False,,,54,531442.jpg,2.4,Fatawu,0.4,False,,a,11,13,22,66806,1450,77457,1400,0.4,4.1,A.Fatawu,81.0,396,0,2,0,10,0,0,0,0,0,0,3,95,103.8,68.3,103.0,27.6,4,0.33,1.04,1.37,9.30,175,68,152,100,86,55,145,81,,,,,,,0.08,0.0,0.24,0.32,2.11,2.27,145,86,151,66,176,78,278,90,0.91,0.0
372,,,532534,0,0,0,0,0,3,0.0,0.0,0,Will,0.0,606,False,,,45,532534.jpg,0.0,Alves,0.1,False,,a,11,13,0,9848,188,8358,319,0.0,0.0,Alves,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,595,258,595,264,571,251,598,261,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,448,275,556,230,601,264,442,160,0.0,0.0
373,0.0,0.0,501770,0,0,0,0,0,2,0.0,0.0,0,Ben,0.0,616,False,Loaned to Oxford United,2024-08-31T06:22:31.067773Z,40,501770.jpg,0.0,Nelson,0.0,False,,u,11,13,0,2208,0,3201,55,0.0,0.0,Nelson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,489,172,476,172,433,153,492,172,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,641,194,416,143,495,170,585,199,0.0,0.0
374,,,513527,0,0,-1,1,0,3,1.0,1.0,1,Bilal,1.0,635,False,,,49,513527.jpg,1.2,El Khannouss,0.0,False,,a,11,13,6,4706,84,3058,143,0.2,1.2,El Khannouss,145.0,167,0,0,0,5,0,0,0,0,0,0,0,23,15.4,61.8,10.0,8.7,2,0.08,0.29,0.37,4.65,361,171,171,109,296,162,301,152,,,,,,,0.04,0.0,0.16,0.2,2.51,2.69,290,193,252,121,318,156,555,227,1.08,0.0
