,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
238,0.0,0.0,531989,0,0,0,0,0,3,0.0,0.0,0,David,0.0,212,False,Season long loan to Derby County,2024-07-26T08:51:53.649693Z,45,531989.jpg,0.0,Ozoh,0.0,False,,u,7,31,0,0,0,275,1,0.0,0.0,Ozoh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,594,257,594,263,570,250,597,260,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,447,274,555,229,600,263,664,301,0.0,0.0
239,0.0,0.0,450542,0,0,0,0,0,3,0.0,0.0,0,Jesurun,0.0,213,False,Loaned to Sheffield United,2024-08-20T12:16:48.741122Z,45,450542.jpg,0.0,Rak-Sakyi,0.0,False,,u,7,31,0,755,0,17762,140,0.0,0.0,Rak-Sakyi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,564,233,563,239,535,225,567,236,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,400,240,520,201,570,239,516,201,0.0,0.0
240,,,86417,-1,1,-3,3,0,3,0.3,-0.2,0,Jeffrey,0.3,214,False,,,47,86417.jpg,1.0,Schlupp,0.1,False,,a,7,31,6,5146,252,10013,257,0.1,1.3,Schlupp,81.0,46,0,0,0,0,0,0,0,0,0,0,0,22,15.2,18.5,25.0,5.7,0,0.09,0.07,0.16,0.63,362,172,286,168,232,132,334,166,,,,,,,0.18,0.0,0.14,0.32,1.23,0.0,332,220,332,162,364,176,483,180,0.0,0.0
241,,,55494,0,0,-2,2,0,2,0.0,-0.5,0,Joel,0.0,215,False,,,43,55494.jpg,0.0,Ward,0.1,False,,a,7,31,0,2329,106,8037,237,0.0,0.0,Ward,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,511,191,498,190,459,175,514,191,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,537,125,443,166,516,188,440,160,0.0,0.0
242,100.0,100.0,496221,0,0,-2,2,0,3,1.3,0.8,3,Adam,1.3,216,False,,2024-10-12T11:00:07.288216Z,48,496221.jpg,1.9,Wharton,0.3,False,,a,7,31,15,17748,831,38042,867,0.3,3.1,Wharton,241.0,621,0,0,1,9,0,0,0,0,0,0,0,104,112.6,131.4,53.0,29.7,8,0.22,0.60,0.82,9.39,165,63,68,54,164,101,127,74,4.0,,,,,,0.03,0.0,0.09,0.12,1.36,1.3,328,217,216,103,235,101,317,105,1.16,0.14
243,100.0,100.0,224068,0,0,0,0,0,1,0.0,-0.5,0,Matt,0.0,445,False,,2024-10-05T17:30:07.013947Z,40,224068.jpg,0.0,Turner,12.8,False,,a,7,31,0,203668,3035,717127,15090,0.0,0.0,Turner,229.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,466,45,452,26,406,18,469,45,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,612,56,391,41,471,45,29,4,0.0,0.0
244,,,232185,-1,1,-3,3,0,3,1.7,1.2,3,Ismaïla,1.7,585,False,,,57,232185.jpg,1.6,Sarr,0.2,False,,a,7,31,14,11406,783,30150,628,0.3,2.5,I.Sarr,189.0,300,0,1,1,2,0,0,0,1,0,0,0,60,36.2,82.0,132.0,25.0,2,0.69,0.83,1.52,3.34,309,142,128,90,64,36,160,88,,,,,,,0.21,0.0,0.25,0.46,1.0,0.6,97,60,201,99,274,129,373,133,0.6,0.3
245,,,574398,0,0,0,0,0,3,0.0,-0.5,0,Franco,0.0,644,False,,,45,574398.jpg,0.0,Umeh-Chibueze,0.0,False,,a,7,31,0,4085,109,2209,123,0.0,0.0,Umeh-Chibueze,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,606,267,606,273,582,260,609,270,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,461,286,569,241,612,273,565,233,0.0,0.0
246,,,489706,0,0,0,0,0,3,0.0,-0.5,0,Justin,0.0,645,False,,,45,489706.jpg,0.0,Devenny,0.0,False,,a,7,31,0,1194,59,640,55,0.0,0.0,Devenny,242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,575,241,575,247,550,233,578,244,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,418,249,531,209,581,247,629,278,0.0,0.0
247,,,579075,0,0,0,0,0,3,0.3,-0.2,0,Asher,0.3,646,False,,,45,579075.jpg,1.0,Agbinone,0.0,False,,a,7,31,1,6073,264,2739,204,0.1,0.2,Agbinone,241.0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10.3,1.0,1.1,0,0.02,0.01,0.03,0.00,610,269,329,187,369,203,412,203,,,,,,,0.9,0.0,0.45,1.35,0.0,0.0,466,288,329,160,360,172,527,210,0.0,0.0
248,,,530318,0,0,0,0,0,3,0.0,-0.5,0,Kaden,0.0,647,False,,,45,530318.jpg,0.0,Rodney,0.0,False,,a,7,31,0,2859,90,1485,105,0.0,0.0,Rodney,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,592,256,592,262,568,249,595,259,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,445,273,553,228,598,262,583,247,0.0,0.0
249,,,437499,0,0,0,0,0,2,3.0,2.5,5,Maxence,3.0,650,False,,,45,437499.jpg,3.2,Lacroix,0.1,False,,a,7,31,19,13257,1489,5054,418,0.7,4.2,Lacroix,73.0,540,0,1,2,6,0,0,0,2,0,0,0,85,121.8,37.8,19.0,17.9,6,0.28,0.39,0.67,7.56,146,58,232,65,248,69,219,69,,,,,,,0.05,0.0,0.06,0.11,1.26,1.0,394,78,96,33,99,27,417,151,1.0,0.33
250,,,590012,0,0,0,0,0,2,0.0,-0.5,0,Caleb,0.0,666,False,,,40,590012.jpg,0.0,Kporha,0.0,False,,a,7,31,0,753,150,277,88,0.0,0.0,Kporha,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,507,187,494,187,453,170,510,187,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,662,212,437,161,513,185,626,209,0.0,0.0
