,date,aapl,googl
0,2013-02-08,100.0,100.0
1,2013-02-11,101.04223467375637,99.62437451933805
2,2013-02-12,98.5094511467234,99.40535929664796
3,2013-02-13,98.32199038526721,99.68039397808627
4,2013-02-14,98.23356549778791,100.31194850280237
5,2013-02-15,96.8799278452918,100.95749517207412
6,2013-02-19,96.84411576586268,102.73500633589745
7,2013-02-20,94.49879300028589,100.9027477264673
8,2013-02-21,93.91135699779821,101.29366280508917
9,2013-02-22,94.91144247518943,101.82589854372306
10,2013-02-25,93.22503249614614,100.68757398346435
11,2013-02-26,94.5239940932175,100.60608882162484
12,2013-02-27,93.59759602205905,101.83480263571299
13,2013-02-28,92.93028287121504,102.01560658363475
14,2013-03-01,90.62917254937791,102.65097714777512
15,2013-03-04,88.43535109101573,104.6008969727868
16,2013-03-05,90.77094711896979,106.77820186695912
17,2013-03-06,89.61685496255205,105.85838372413393
18,2013-03-07,90.65275251937241,106.01321316370785
19,2013-03-08,90.89223658962894,105.87621734837667
20,2013-03-11,92.18707169195126,106.29638872925123
21,2013-03-12,90.19957497104085,105.37835140482403
22,2013-03-13,90.18277424241977,105.08550853940582
23,2013-03-14,91.05655950552801,104.60547622009591
24,2013-03-15,93.40600876585384,103.68387725887274
25,2013-03-18,95.94512940982283,102.85470277250528
26,2013-03-19,95.68619186432083,103.30418133615822
27,2013-03-20,95.17878038500196,103.73557187294013
28,2013-03-21,95.31554421096999,103.29652381704686
29,2013-03-22,97.24836487645568,103.17558080756045
30,2013-03-25,97.59985380418603,103.09025416603384
31,2013-03-26,97.08536833386879,103.4442299830288
32,2013-03-27,95.17878038500196,102.20149858412216
33,2013-03-28,93.19555753365303,101.12278055967052
34,2013-04-01,90.3006740923922,102.01433457049333
35,2013-04-02,90.4863663560988,103.52317111858545
36,2013-04-03,90.94912326724064,102.65250356354481
37,2013-04-04,90.05013691120078,101.23507387979527
38,2013-04-05,89.09853774711071,99.70458766803613
39,2013-04-08,89.73224944071258,98.66049384129398
40,2013-04-09,89.89436173442469,99.01701368457178
41,2013-04-10,91.72814652593352,100.61244888733195
42,2013-04-11,91.44179726531297,100.63918660356464
43,2013-04-12,90.48798747903592,100.59588727623063
44,2013-04-15,88.39320189465057,99.5619949948827
45,2013-04-16,89.73858655764859,101.01862812365087
46,2013-04-17,84.80359358742714,99.64220814358077
47,2013-04-18,82.54035859239369,97.52270352655468
48,2013-04-19,82.22026049971852,101.84625075398579
49,2013-04-22,83.93408219388041,101.87733875516214
50,2013-04-23,85.50465557032578,102.86869491706092
51,2013-04-24,85.36405999923363,103.57588334316598
52,2013-04-25,85.97831821759006,103.02148913560855
53,2013-04-26,87.83641985315573,102.04361631300885
54,2013-04-29,90.55548514314516,104.28968623760647
55,2013-04-30,93.22075862658464,104.99127780588925
56,2013-05-01,92.48609518644386,104.4641301198211
57,2013-05-02,93.79773101738726,105.63300843573676
58,2013-05-03,94.7366559476053,107.68428226785697
59,2013-05-06,96.99561707307727,109.6998888514917
60,2013-05-07,96.56366149774072,109.14981948861511
61,2013-05-08,97.6546772344232,111.23800714209939
62,2013-05-09,96.16619162852115,110.96424447380251
63,2013-05-10,95.36609377164568,112.07837534411135
64,2013-05-13,95.73880467237105,111.7346010725106
65,2013-05-14,93.44815796221897,112.95313878146739
66,2013-05-15,90.28799985852018,116.61890257320627
67,2013-05-16,91.49396794892577,115.08841636144712
68,2013-05-17,91.21646117705315,115.76454222663865
69,2013-05-20,93.25244421126473,115.68178505165773
70,2013-05-21,92.56390908742569,115.48314747949324
71,2013-05-22,92.92055613359231,113.24852567316844
72,2013-05-23,93.08605804799112,112.4043414317322
73,2013-05-24,93.719769741593,111.19854929445246
74,2013-05-28,92.9385358607131,112.2107919121334
75,2013-05-29,93.67762054522785,110.56063470402925
76,2013-05-30,95.07355476890154,110.87258320683164
77,2013-05-31,94.68507476324235,110.93089228923442
78,2013-06-03,94.89243112438137,110.47403604936125
79,2013-06-04,94.59561825207577,109.38794034868933
80,2013-06-05,93.71136937728247,109.46433745796314
81,2013-06-06,92.31130865885973,110.09332251613357
82,2013-06-07,93.01679188613231,112.01472380651458
83,2013-06-10,92.40179679371357,113.35038848553351
84,2013-06-11,92.13018501433956,112.02489991164596
85,2013-06-12,90.99127246360577,111.0279214516621
86,2013-06-13,91.78606482723251,111.66710805522673
87,2013-06-14,90.54074766189859,111.41753907687972
88,2013-06-17,90.95118651461516,112.84489046313237
89,2013-06-18,90.90284757612645,114.67460504627965
90,2013-06-19,89.05638855074557,114.68223712512818
91,2013-06-20,87.75904807661131,112.65263839693782
92,2013-06-21,87.05636497077556,112.16751802506224
93,2013-06-24,84.74891753200242,110.74907073079953
94,2013-06-25,84.76778150799802,110.29196008829805
95,2013-06-26,83.80778197959742,111.24055116838224
96,2013-06-27,82.90452175399606,111.6760121472167
97,2013-06-28,83.48355739217321,112.0962089683541
98,2013-07-01,86.15516799254871,113.05243212728679
99,2013-07-02,88.10685263403002,112.34323392041829
100,2013-07-03,88.59318951516633,112.86781213994078
101,2013-07-05,87.88166392058265,113.76674382698384
102,2013-07-08,87.3826528055743,115.24375460627759
103,2013-07-09,88.91962472477753,115.26286024366176
104,2013-07-10,88.57845203391977,115.35836299031972
105,2013-07-11,89.95920665190953,117.17278797550713
106,2013-07-12,89.79532586044785,117.52421976621926
107,2013-07-15,89.99118698621456,117.73939350922224
108,2013-07-16,90.57125424807897,117.09232042418076
109,2013-07-17,90.59542371732331,116.95761423250416
110,2013-07-18,90.90034220431453,115.95552227969178
