,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
508,,,250199,0,0,-2,2,0,3,1.3,1.3,1,Nicolás,1.3,431,False,,,48,250199.jpg,1.0,Domínguez,0.0,False,,a,16,17,7,1531,218,2736,119,0.3,1.5,Dominguez,10.0,354,0,0,1,3,0,0,0,3,0,0,0,35,65.4,33.9,55.0,15.4,4,0.52,0.14,0.66,5.46,243,108,241,147,161,99,242,118,,,,,,,0.13,0.0,0.04,0.17,1.39,0.76,316,211,214,101,373,182,559,229,1.02,0.25
509,100.0,100.0,449434,0,0,-3,3,0,3,2.0,2.0,2,Anthony,2.0,432,False,,2024-08-17T20:30:06.384998Z,52,449434.jpg,1.9,Elanga,0.9,False,,a,16,17,17,49522,2756,184248,3495,0.4,3.3,Elanga,206.0,497,0,1,2,5,0,0,0,1,0,0,0,58,55.2,144.0,96.0,29.7,6,0.61,0.76,1.37,5.55,268,120,59,48,93,60,128,75,2.0,,2.0,,,,0.11,0.0,0.14,0.25,1.01,0.91,176,109,179,83,238,104,214,68,1.09,0.36
510,50.0,50.0,222531,0,0,-2,2,0,3,0.3,0.3,0,Morgan,0.7,433,False,Ankle injury - 50% chance of playing,2024-10-06T22:00:07.922561Z,63,222531.jpg,2.8,Gibbs-White,1.2,False,,d,16,17,17,169178,232,520125,7666,0.1,2.7,Gibbs-White,241.0,507,1,0,2,5,0,0,0,1,1,0,2,69,96.0,157.0,169.0,42.2,6,0.87,0.88,1.75,5.08,189,76,49,42,42,24,62,40,,,4.0,,2.0,,0.15,0.0,0.16,0.31,0.9,0.89,60,38,310,156,145,60,188,58,1.07,0.36
511,100.0,75.0,209046,0,0,-1,1,0,3,2.3,1.7,2,Callum,2.3,434,False,,2024-10-23T08:00:07.622507Z,54,209046.jpg,3.0,Hudson-Odoi,2.0,False,,a,16,17,27,188220,7604,330038,10183,0.4,5.0,Hudson-Odoi,241.0,638,1,1,3,5,0,0,0,1,0,0,1,138,117.6,208.1,131.0,45.6,7,0.74,0.94,1.68,5.72,154,55,27,23,65,37,49,33,,,,,,,0.1,0.0,0.13,0.23,0.81,0.71,132,78,150,65,127,50,141,43,0.99,0.42
512,0.0,0.0,244930,0,0,0,0,0,3,0.0,0.0,0,Alex,0.0,435,False,Season long loan to Port Vale,2024-08-29T11:09:56.647313Z,45,244930.jpg,0.0,Mighten,0.0,False,,u,16,17,0,689,0,3551,46,0.0,0.0,Mighten,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,557,226,556,232,528,218,560,229,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,388,233,513,194,563,232,597,256,0.0,0.0
513,,,575476,0,0,0,0,0,2,4.0,4.0,2,Murillo,4.0,436,False,,,45,575476.jpg,3.4,Santiago Costa dos Santos,1.0,False,,a,16,17,31,86657,9410,47749,2151,0.9,6.9,Murillo,30.0,810,0,0,3,7,0,0,0,1,0,0,3,142,201.0,75.3,43.0,32.1,9,0.25,0.37,0.62,9.46,52,17,136,30,185,45,112,26,,,3.0,,,,0.03,0.0,0.04,0.07,1.05,0.78,464,87,49,13,82,19,203,74,1.0,0.33
514,,,215136,0,0,-1,1,0,2,0.7,0.7,1,Neco,0.7,437,False,,,44,215136.jpg,1.4,Williams,0.4,False,,a,16,17,13,37961,398,49935,1415,0.2,3.0,N.Williams,244.0,369,0,0,1,2,0,0,0,3,0,0,0,56,79.2,62.6,74.0,21.7,3,0.59,0.20,0.79,4.06,214,81,169,42,121,18,189,55,,,,,,,0.14,0.0,0.05,0.19,0.99,0.49,502,105,277,87,290,95,266,98,0.73,0.24
515,0.0,0.0,204822,0,0,0,0,0,2,0.0,0.0,0,Omar,0.0,438,False,Loaned to Rio Ave,2024-08-22T11:19:23.101534Z,45,204822.jpg,0.0,Richards,0.0,False,,u,16,17,0,33,0,4504,32,0.0,0.0,O.Richards,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,553,213,552,213,524,205,556,213,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,377,66,509,205,559,211,591,201,0.0,0.0
516,0.0,0.0,243345,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.0,439,False,On loan to Los Angeles Football Club for the rest of the season,2024-08-01T07:01:57.624673Z,50,243345.jpg,0.0,O'Brien,0.0,False,,u,16,17,0,0,0,114,3,0.0,0.0,O'Brien,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,637,287,635,288,632,286,638,288,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,218,140,617,273,638,288,669,303,0.0,0.0
517,,,466404,0,0,-2,2,0,2,0.0,0.0,0,Andrew,0.0,440,False,,,43,466404.jpg,0.0,Omobamidele,0.1,False,,a,16,17,0,581,24,3875,81,0.0,0.0,Omobamidele,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,520,199,508,198,473,186,523,199,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,561,146,460,181,526,197,503,182,0.0,0.0
518,0.0,0.0,209035,0,0,0,0,0,2,0.0,0.0,0,Jonathan,0.0,441,False,On a season long loan to Rio Ave,2024-07-18T09:44:17.568948Z,40,209035.jpg,0.0,Panzo,0.0,False,,u,16,17,0,0,0,113,3,0.0,0.0,Panzo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,461,159,447,159,400,136,464,159,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,604,173,385,127,467,157,666,220,0.0,0.0
519,0.0,0.0,210462,0,0,-1,1,0,3,0.0,0.0,0,Ibrahim,0.0,442,False,Hamstring injury - Expected back 23 Nov,2024-09-12T15:00:06.800627Z,44,210462.jpg,1.3,Sangaré,1.1,False,,i,16,17,4,159914,2046,267834,4825,0.0,0.9,Sangaré,54.0,212,0,0,1,2,0,0,0,2,0,0,0,26,38.8,16.4,19.0,7.4,3,0.02,0.06,0.08,1.98,302,140,296,173,247,140,315,156,,,,,,,0.01,0.0,0.03,0.04,0.84,0.85,499,296,478,182,303,147,193,60,1.27,0.42
520,100.0,100.0,85633,1,-1,1,-1,1,1,6.3,6.3,5,Matz,6.3,443,True,,2024-10-12T11:00:07.468908Z,46,85633.jpg,4.7,Sels,4.8,False,,a,16,17,42,548828,79860,186146,4057,1.4,9.1,Sels,21.0,810,0,1,3,7,0,0,0,2,0,26,6,138,205.0,0.1,0.0,20.6,9,0.00,0.04,0.04,9.46,47,13,415,8,591,61,199,13,,,,,,,0.0,2.89,0.0,0.0,1.05,0.78,346,12,13,2,23,2,77,14,1.0,0.33
521,,,114241,0,0,-2,2,0,2,0.0,0.0,0,Harry,0.0,444,False,,,43,114241.jpg,1.0,Toffolo,0.1,False,,a,16,17,1,847,49,4796,102,0.0,0.2,Toffolo,241.0,36,0,0,0,1,0,0,0,0,0,0,0,0,9.6,3.0,6.0,1.9,0,0.02,0.01,0.03,0.67,376,133,366,123,320,103,390,128,,,,,,,0.05,0.0,0.02,0.07,1.68,2.5,544,130,450,171,343,118,494,180,0.0,0.0
522,0.0,0.0,201440,0,0,0,0,0,4,0.0,0.0,0,Hwang,0.0,446,False,Transferred to Alanyaspor,2024-09-10T11:39:20.038647Z,45,201440.jpg,0.0,Ui-jo,1.7,False,,u,16,17,0,317328,0,313867,8620,0.0,0.0,Ui-jo,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,551,46,550,46,522,46,554,46,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,375,65,507,42,557,48,152,29,0.0,0.0
523,75.0,,60689,1,-1,4,-4,1,4,7.0,9.3,13,Chris,9.3,447,True,Knock - 75% chance of playing,2024-10-26T11:00:07.644070Z,64,60689.jpg,6.6,Wood,17.2,False,,d,16,17,59,2006396,252277,804099,26536,1.5,9.2,Wood,154.0,720,7,0,4,6,0,0,0,1,0,0,14,227,256.4,72.4,289.0,62.0,9,3.67,0.17,3.84,7.53,15,3,142,13,12,7,23,7,,,,,1.0,,0.46,0.0,0.02,0.48,0.94,0.75,50,19,1,1,8,2,19,5,1.12,0.5
524,0.0,0.0,208912,0,0,0,0,0,2,0.0,0.0,0,Joe,0.0,448,False,Transferred to Burnley,2024-08-26T10:09:19.430328Z,45,208912.jpg,0.0,Worrall,0.0,False,,u,16,17,0,71,0,4820,44,0.0,0.0,Worrall,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,554,214,553,214,525,206,557,214,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,378,67,510,206,560,212,577,196,0.0,0.0
525,100.0,100.0,204968,0,0,-1,1,0,3,4.3,4.3,8,Ryan,4.3,449,False,,2024-08-30T04:00:05.695621Z,49,204968.jpg,2.9,Yates,0.2,False,,a,16,17,26,36334,9621,30026,827,0.9,5.3,Yates,241.0,626,1,1,2,4,0,0,0,2,0,0,3,112,124.6,115.5,119.0,35.9,5,1.14,0.26,1.40,8.03,144,51,92,69,75,44,88,55,,,,,,,0.16,0.0,0.04,0.2,1.15,0.58,268,177,38,16,131,53,332,115,0.72,0.29
526,0.0,100.0,101178,0,0,-3,3,0,3,0.0,-0.3,0,James,-0.3,531,False,Ineligible to face his parent club on 2/11. - Expected back 10 Nov,2024-10-25T22:30:06.650947Z,62,101178.jpg,1.2,Ward-Prowse,0.6,False,,n,16,17,6,16529,89,143445,3845,0.0,1.0,Ward-Prowse,241.0,302,0,0,1,5,0,0,0,0,1,0,0,30,31.6,29.1,9.0,7.0,4,0.06,0.21,0.27,4.16,317,146,259,156,308,169,319,158,1.0,,1.0,,,,0.02,0.0,0.06,0.08,1.24,1.49,64,41,668,303,324,161,233,75,1.19,0.3
527,,,227444,0,0,0,0,0,2,4.0,4.0,1,Nikola,4.0,573,False,,,45,227444.jpg,3.6,Milenković,1.0,False,,a,16,17,29,100995,4954,27538,2270,0.9,6.4,Milenković,190.0,720,0,1,3,6,0,0,0,1,0,0,0,111,125.6,33.7,49.0,20.8,8,1.18,0.28,1.46,8.24,141,56,242,70,169,35,198,59,,,,,,,0.15,0.0,0.04,0.19,1.03,0.75,381,70,45,10,70,13,204,75,1.0,0.38
528,,,510500,0,0,-1,1,0,3,1.0,1.0,1,João Pedro,1.0,596,False,,,59,510500.jpg,1.2,Ferreira Silva,0.1,False,,a,16,17,10,7654,468,13503,468,0.2,1.7,Jota Silva,173.0,154,0,1,0,0,0,0,0,1,0,0,0,39,45.0,35.3,57.0,13.8,0,0.25,0.34,0.59,2.21,289,135,239,146,155,97,254,125,,,,,,,0.15,0.0,0.2,0.35,1.29,0.0,90,56,265,130,322,159,429,153,0.0,0.0
529,,,502222,0,0,0,0,0,3,0.7,0.7,1,Ramón,0.7,620,False,,,55,502222.jpg,2.0,Sosa,0.0,False,,a,16,17,10,2327,180,1926,183,0.1,1.8,Sosa,168.0,76,1,0,0,0,0,0,0,0,0,0,0,43,49.4,44.2,36.0,13.0,0,0.71,0.18,0.89,0.31,280,129,213,136,207,118,264,129,4.0,,,,,,0.84,0.0,0.21,1.05,0.37,0.0,126,76,306,153,229,99,547,221,0.0,0.0
530,,,485047,0,0,0,0,0,2,1.0,1.0,1,Felipe,1.0,653,False,,,45,485047.jpg,1.0,Rodrigues da Silva,0.0,False,,a,16,17,5,866,98,639,90,0.2,1.1,Morato,30.0,65,0,0,0,0,0,0,0,0,0,0,0,25,31.4,1.6,0.0,3.3,0,0.00,0.00,0.00,1.47,319,114,381,130,548,210,364,121,,,,,,,0.0,0.0,0.0,0.0,2.04,0.0,416,85,244,78,352,125,594,202,0.0,0.0
