,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
641,,,60232,0,0,-1,1,0,2,1.3,1.3,4,Craig,1.3,542,False,,,44,60232.jpg,1.2,Dawson,0.2,False,,a,20,39,10,7107,640,12122,369,0.3,2.3,Dawson,241.0,569,0,1,0,16,0,0,0,1,0,0,0,32,136.2,28.3,43.0,20.8,6,0.46,0.06,0.52,11.48,126,49,261,76,184,44,197,58,,,,,,,0.07,0.0,0.01,0.08,1.82,2.53,478,90,205,57,314,101,388,140,0.95,0.0
642,,,87835,-1,1,-2,2,0,2,0.0,0.0,0,Matt,0.0,543,False,,,43,87835.jpg,0.5,Doherty,0.2,False,,a,20,39,2,3994,83,11833,397,0.0,0.5,Doherty,104.0,208,0,0,0,9,0,0,0,0,0,0,0,2,40.8,16.0,15.0,7.2,2,0.08,0.08,0.16,3.61,296,104,298,93,269,80,317,103,,,,,,,0.03,0.0,0.03,0.06,1.56,3.89,541,127,447,168,432,143,396,142,0.87,0.0
643,,,220394,0,0,-2,2,0,3,2.0,2.0,5,Tommy,2.0,544,False,,,48,220394.jpg,1.6,Doyle,0.0,False,,a,20,39,11,1972,635,3031,96,0.4,2.3,Doyle,241.0,200,0,1,0,6,0,0,0,0,0,0,0,44,43.6,38.0,7.0,8.9,1,0.27,0.10,0.37,4.74,293,137,231,143,317,175,298,150,,,,,,,0.12,0.0,0.04,0.16,2.13,2.7,307,206,167,72,269,125,522,206,0.45,0.0
644,0.0,0.0,449988,0,0,0,0,0,4,0.0,0.0,0,Fábio,0.0,545,False,Season long loan to Las Palmas,2024-08-30T20:53:22.805927Z,50,449988.jpg,0.0,Silva,0.1,False,,u,20,39,0,7594,0,31338,295,0.0,0.0,Fábio Silva,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,641,62,639,61,636,62,642,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,228,48,622,60,642,63,427,59,0.0,0.0
645,0.0,0.0,531363,0,0,0,0,0,4,0.0,0.0,0,Nathan,0.0,546,False,Loaned to Zulte Waregem,2024-08-26T10:19:49.301076Z,45,531363.jpg,0.0,Fraser,2.2,False,,u,20,39,0,86763,0,421008,8532,0.0,0.0,Fraser,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,593,50,593,50,569,50,596,50,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,446,70,554,47,599,52,135,26,0.0,0.0
646,0.0,0.0,593001,0,0,0,0,0,3,0.0,0.0,0,Enso,0.0,547,False,Knee injury - Unknown return date,2024-08-05T15:00:04.514369Z,45,593001.jpg,0.0,González,0.0,False,,i,20,39,0,2980,41,3827,116,0.0,0.0,Gonzalez,168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,614,272,613,277,590,265,616,274,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,471,292,577,246,619,277,571,238,0.0,0.0
647,,,181284,0,0,-2,2,0,3,1.0,1.0,1,Gonçalo Manuel,1.0,548,False,,,53,181284.jpg,1.0,Ganchinho Guedes,0.1,False,,a,20,39,6,2817,169,7348,192,0.2,1.1,Guedes,173.0,77,0,0,0,5,0,0,0,0,0,0,0,22,14.2,27.1,6.0,4.7,0,0.04,0.08,0.12,4.39,364,174,267,159,330,182,346,172,,,,,,,0.05,0.0,0.09,0.14,5.13,5.84,155,91,259,127,397,198,489,185,0.0,0.0
648,0.0,0.0,490721,0,0,0,0,0,2,0.0,0.0,0,Hugo,0.0,549,False,Loaned to Feyenoord,2024-08-14T08:32:21.592368Z,45,490721.jpg,0.0,Bueno López,0.0,False,,u,20,39,0,0,0,1682,14,0.0,0.0,H.Bueno,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,577,217,577,217,552,211,580,217,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,421,86,533,209,583,215,636,213,0.0,0.0
649,0.0,0.0,184754,0,0,-4,4,0,3,0.0,0.0,0,Hwang,0.3,550,False,Ankle injury - Expected back 09 Nov,2024-10-16T12:30:07.628110Z,61,184754.jpg,1.2,Hee-chan,0.3,False,,i,20,39,7,14378,25,80554,1489,0.0,1.1,Hee Chan,114.0,252,0,0,0,9,0,0,0,0,0,0,0,28,16.4,36.1,10.0,6.2,2,0.00,0.16,0.16,5.34,355,168,236,144,298,164,332,164,,,,,1.0,,0.0,0.0,0.06,0.06,1.91,3.21,74,49,354,178,323,160,318,106,0.71,0.0
650,0.0,0.0,240299,0,0,0,0,0,3,0.0,0.0,0,Joe,0.0,551,False,Season long to Huddersfield Town,2024-08-29T11:12:19.576028Z,45,240299.jpg,0.0,Hodge,0.3,False,,u,20,39,0,17482,0,43963,687,0.0,0.0,Hodge,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,555,225,554,231,526,217,558,228,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,386,232,511,193,561,231,322,108,0.0,0.0
651,0.0,0.0,441271,0,0,0,0,0,2,0.0,0.0,0,Ki-Jana,0.0,552,False,Loaned to Auxerre,2024-08-26T10:11:13.033350Z,40,441271.jpg,0.0,Hoever,0.2,False,,u,20,39,0,3224,0,19912,364,0.0,0.0,Hoever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,473,164,460,164,415,143,476,164,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,621,182,398,133,478,161,386,138,0.0,0.0
652,,,448089,0,0,-1,1,0,3,1.7,1.7,2,João Victor,1.7,553,False,,,49,448089.jpg,1.4,Gomes da Silva,0.1,False,,a,20,39,13,6282,379,10513,374,0.3,2.7,J.Gomes,30.0,748,0,0,0,21,0,0,0,4,0,0,0,77,80.2,65.0,21.0,16.6,9,0.18,0.14,0.32,13.25,213,90,159,105,244,139,229,112,,,,,,,0.02,0.0,0.02,0.04,1.59,2.53,279,185,193,94,294,140,438,158,1.08,0.0
653,,,149065,0,0,-2,2,0,1,1.3,1.3,2,José,1.3,554,False,,,43,149065.jpg,1.2,Malheiro de Sá,1.6,False,,a,20,39,5,48868,5922,124586,2760,0.3,1.2,José Sá,173.0,360,0,0,0,12,0,0,0,0,0,15,0,18,101.8,10.0,0.0,11.2,4,0.00,0.01,0.01,5.73,182,21,332,2,464,38,277,21,,,,,,,0.0,3.75,0.0,0.0,1.43,3.0,546,37,204,19,313,28,165,23,1.0,0.0
654,0.0,0.0,429414,0,0,-2,2,0,4,0.0,0.0,0,Saša,0.0,555,False,Knee injury - Unknown return date,2024-08-22T10:59:37.463254Z,48,429414.jpg,0.0,Kalajdžić,0.0,False,,i,20,39,0,2394,78,8627,152,0.0,0.0,Kalajdžić,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,621,56,619,56,603,56,622,56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,317,60,591,53,625,58,528,68,0.0,0.0
655,,,138001,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,556,False,,,40,138001.jpg,0.0,King,1.7,False,,a,20,39,0,69722,2523,44392,2028,0.0,0.0,King,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,450,37,436,18,388,10,453,37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,590,48,373,33,457,37,159,22,0.0,0.0
656,100.0,100.0,151086,0,0,0,0,1,3,1.7,1.7,1,Mario,1.7,557,False,,2024-09-08T23:00:07.102123Z,50,151086.jpg,3.0,Lemina,0.4,False,,a,20,39,27,62086,1723,40188,3241,0.3,5.4,Mario Jr.,77.0,764,1,1,0,24,0,0,0,2,0,0,4,138,187.8,81.7,86.0,35.4,9,0.93,0.43,1.36,16.24,60,17,129,91,107,70,91,57,,,,,,,0.11,0.0,0.05,0.16,1.91,2.83,195,122,195,95,122,46,277,89,1.06,0.0
657,0.0,0.0,501837,0,0,0,0,0,2,0.0,0.0,0,Yerson,0.0,558,False,Knee injury - Expected back 01 Jun,2024-09-21T20:30:06.017799Z,40,501837.jpg,0.6,Mosquera,0.7,False,,i,20,39,3,114471,42,110326,2985,0.0,0.8,Mosquera,48.0,441,0,0,0,12,0,0,0,2,0,0,0,24,110.2,27.3,21.0,16.0,5,0.33,0.03,0.36,5.63,167,66,263,77,240,65,231,75,,,,,,,0.07,0.0,0.01,0.08,1.15,2.45,642,195,417,144,427,140,229,83,1.02,0.0
658,100.0,100.0,200402,0,0,0,0,0,2,2.0,2.0,1,Nélson,2.0,559,False,,2024-07-17T13:30:05.075471Z,45,200402.jpg,1.4,Cabral Semedo,0.2,False,,a,20,39,10,15784,2134,7459,1119,0.4,2.2,N.Semedo,173.0,600,0,2,0,16,0,0,0,4,0,0,0,23,142.0,72.3,55.0,27.0,7,0.49,0.37,0.86,12.89,115,44,143,33,160,31,148,39,,,,,,,0.07,0.0,0.06,0.13,1.93,2.4,374,64,164,51,291,96,403,147,1.05,0.0
659,,,641221,0,0,0,0,0,2,0.0,0.0,0,Pedro,0.0,561,False,,,40,641221.jpg,0.0,Cardoso de Lima,1.5,False,,a,20,39,0,74464,703,81066,3129,0.0,0.0,Pedro Lima,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,509,189,496,189,455,172,512,189,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,664,214,439,163,515,187,172,62,0.0,0.0
660,0.0,0.0,200600,0,0,0,0,0,3,0.0,0.0,0,Daniel,0.0,562,False,Transferred to Al-Shabab,2024-09-05T10:36:18.217223Z,55,200600.jpg,1.0,Castelo Podence,0.0,False,,u,20,39,2,1049,0,4771,47,0.0,0.4,Podence,,46,0,0,0,2,0,0,0,0,0,0,0,9,3.0,1.1,1.0,0.4,0,0.04,0.01,0.05,0.70,420,205,386,206,371,205,429,211,,,,,,,0.08,0.0,0.02,0.1,1.37,3.91,113,69,647,291,402,202,579,245,0.0,0.0
661,,,483081,0,0,-3,3,0,3,0.3,0.3,1,Rodrigo,0.3,563,False,,,52,483081.jpg,1.2,Martins Gomes,0.1,False,,a,20,39,5,2264,110,11071,219,0.1,1.0,R.Gomes,173.0,116,0,0,0,6,0,0,0,0,0,0,0,15,9.0,6.7,14.0,2.8,1,0.06,0.01,0.07,2.78,382,184,346,192,277,154,371,182,,,,,,,0.05,0.0,0.01,0.06,2.16,4.66,178,111,347,173,319,157,473,174,0.78,0.0
662,100.0,100.0,231480,0,0,-2,2,0,2,0.7,0.7,1,Santiago,0.7,564,False,,2024-09-29T11:00:06.214611Z,43,231480.jpg,0.8,Bueno,0.1,False,,a,20,39,3,1597,153,5017,108,0.2,0.7,S.Bueno,230.0,264,0,0,0,8,0,0,0,0,0,0,0,13,68.2,2.9,17.0,8.8,3,0.21,0.01,0.22,6.47,235,86,367,124,261,74,299,95,,,,,,,0.07,0.0,0.0,0.07,2.21,2.73,558,143,275,86,416,136,477,176,1.02,0.0
663,,,88484,0,0,-4,4,0,3,0.0,0.0,1,Pablo,0.0,565,False,,,51,88484.jpg,1.0,Sarabia,0.1,False,,a,20,39,2,3721,224,18228,294,0.0,0.4,Sarabia,200.0,73,0,0,0,2,0,0,0,1,0,0,0,15,19.6,46.2,40.0,10.6,0,0.10,0.38,0.48,0.58,339,158,209,134,195,111,290,144,1.0,,2.0,,2.0,,0.12,0.0,0.47,0.59,0.72,2.47,180,113,633,283,393,196,449,165,0.0,0.0
664,,,247412,0,0,0,0,0,4,5.3,5.3,1,Jørgen,5.3,566,False,,,55,247412.jpg,3.9,Strand Larsen,1.6,False,,a,20,39,35,261400,21019,122311,9324,1.0,6.4,Strand Larsen,161.0,733,3,1,1,21,0,0,0,1,0,0,3,142,154.2,68.4,199.0,41.9,9,1.82,0.42,2.24,13.72,92,13,151,16,33,14,63,14,,,,,,,0.22,0.0,0.05,0.27,1.68,2.58,117,33,26,7,53,14,160,31,1.11,0.12
665,100.0,100.0,510362,0,0,-2,2,0,2,0.0,0.0,0,Toti António,0.0,567,False,,2024-09-15T23:00:06.339703Z,43,510362.jpg,0.6,Gomes,0.2,False,,a,20,39,4,5062,272,15012,494,0.0,0.9,Toti,173.0,585,0,1,0,19,0,0,0,4,0,0,0,5,107.4,17.4,13.0,13.7,7,0.01,0.26,0.27,13.30,170,68,290,89,278,85,256,83,,,,,,,0.0,0.0,0.04,0.04,2.05,2.92,566,149,464,183,428,141,399,144,1.08,0.0
666,50.0,50.0,560248,0,0,0,0,0,2,0.0,0.0,0,Bastien,0.0,637,False,Knock - 50% chance of playing,2024-09-15T23:00:06.387765Z,40,560248.jpg,0.0,Meupiyou,0.2,False,,d,20,39,0,22835,20,13992,418,0.0,0.0,Meupiyou,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,502,183,489,183,447,165,505,183,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,656,207,431,156,508,181,397,143,0.0,0.0
667,,,509291,0,0,0,0,0,3,1.0,1.0,1,André,1.0,642,False,,,50,509291.jpg,1.1,Trindade da Costa Neto,0.0,False,,a,20,39,8,2312,105,1200,122,0.2,1.6,André,30.0,362,0,0,0,11,0,0,0,2,0,0,0,67,57.0,40.1,12.0,10.9,5,0.07,0.04,0.11,8.21,259,116,227,142,286,159,283,140,,,,,,,0.02,0.0,0.01,0.03,2.04,2.73,236,152,256,124,328,163,592,253,1.24,0.0
668,,,463212,0,0,0,0,0,3,1.0,1.0,1,Carlos Roberto,1.0,655,False,,,55,463212.jpg,0.8,Forbs Borges,0.0,False,,a,20,39,4,1394,173,980,147,0.2,0.7,Forbs,173.0,181,0,0,0,7,0,0,0,2,0,0,0,22,18.4,20.5,27.0,6.4,1,0.11,0.09,0.20,4.93,344,161,280,165,229,129,330,162,,,,,,,0.05,0.0,0.04,0.09,2.45,3.48,124,75,262,129,420,211,595,255,0.5,0.0
669,,,517179,0,0,0,0,0,2,0.0,0.0,0,Alfie,0.0,664,False,,,40,517179.jpg,0.0,Pond,0.1,False,,a,20,39,0,14166,375,5060,660,0.0,0.0,Pond,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,497,178,484,178,442,160,500,178,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,651,202,426,151,503,176,422,154,0.0,0.0
