fe,c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti,pred_tensile_strength,pred_yield_strength,pred_strength_rating
59.57841925588377,1.88368696760449,9.205521170377683,3.858650267836932,14.037447776380574,0.048473267281211777,2.7643375647792583,1.2740881829692468,0.05747714116163719,0.4283304737668516,1.5928644221415595,2.9740202735425205,0.4644016238550168,1.8322816124192496,2133.5298,1617.7963999999993,Medium
78.53377111604577,1.884155945929464,4.928973774642146,0.26771042200963274,2.378748387678737,0.2358425647001818,0.9039255777159116,0.02491597336915036,0.4186650926597083,0.9868082169158909,1.7106681915306134,3.681639163845952,1.813808906958584,2.2303666659982504,2137.4639999999995,2122.1093999999975,Medium
70.44889304892638,1.3649031743171625,2.7427899287602964,2.7244282002482403,8.185960065529924,0.5620676687982675,2.5047716865444367,1.8175233554740742,0.24218717092810627,1.5088726986076957,0.8982811725744761,4.597351059534983,0.7532826717333723,1.6486880980225744,2014.4355999999998,1613.958399999999,Medium
78.93206731929267,1.2427799520230562,1.2004310414880324,0.001548634679748926,4.495697815453608,1.1567151287940047,4.050172744454664,1.7014507091529993,0.2756703678089281,0.3433787478997634,1.2217776574694927,2.9874621775412495,0.6625374123003334,1.7283102916414477,2013.8584000000003,1615.2403999999992,Medium
82.46305196642346,0.7655268052016951,1.477736335122795,2.517343431032012,0.20169094666001902,1.2919843773016961,0.5024060164309557,0.8628607376771263,0.5320029008614003,1.3158967310191905,1.704608607406368,3.4546303445733013,1.1474428688204559,1.7628179314695265,2032.5369999999998,1627.944,Medium
70.18893461616055,0.3996334197931572,4.288152751811042,3.740048912369099,8.426415869725536,1.3338659743393422,1.8164898436673727,0.679567568396056,0.4885638792028384,0.947707875443193,0.8421569417555677,3.5671324041841777,1.3654092691603008,1.9159206739917691,2287.6525999999985,1808.080399999998,Medium
78.06153232265639,0.8402049742132791,4.883993634486325,0.39517429041439733,0.5521547298940656,1.3532254076842152,3.876564478789023,1.701327165795254,0.15891132400562835,0.4022125660962894,1.9145995496951749,3.3861450394979773,0.9068001356808041,1.5671543810911657,2120.9629999999993,1595.7043999999996,Medium
73.5802329286651,0.7334478183204106,5.851729279288243,2.076838029914465,5.42338058524895,1.4796882306501102,2.8939943760145392,0.07353090832448582,0.14797084650938375,0.11520631626264072,0.9525984869053695,3.9703202363978485,1.2709264422355,1.4301355152629518,2129.813199999999,1656.923999999999,Medium
68.47730445874603,1.2865984334147502,7.989002745238337,4.044066670809979,1.3492124802391632,1.6879521637046706,3.018257491971549,1.5053831844135592,0.3502842165990303,1.5112587858099538,1.7906445253775352,3.7413836630389468,1.6080812483499347,1.6405699322865601,2121.3153999999986,1602.811399999999,Medium
67.98080705739692,0.36808153168485863,2.0330737746375576,2.0582269331569347,14.3670493138435,1.689742256072469,1.7571505404972667,1.8274252663919872,0.17175452450765577,1.095071690159975,1.4686819934897533,2.8096059079255236,0.4488078899139573,1.9245213203216385,2257.8782,1778.2973999999988,Medium
68.21128032474945,1.643142919188605,1.195268787841911,2.4080674252584666,13.789493149645912,1.8199999980407306,1.7595474085089422,1.038048503348548,0.37500929854930176,0.30071476871695796,0.774208775262528,4.199989911568215,1.1486399039559032,1.336588825364538,2075.086,1582.6763999999996,Medium
66.19304439587096,1.2969680103290853,7.125459147778601,2.591664339421298,11.578000271854542,1.8286772258998254,1.7829214965978641,0.4764488176945084,0.11717201033281863,0.8525987227065613,1.4206657296896585,2.2218256726676158,1.1262351102605361,1.388319048896135,2054.305399999999,1585.7785999999996,Medium
69.91625959414083,0.48556241590353355,3.322389804562743,0.9446200772027594,11.337482082636209,1.9536370974916575,4.696647553192239,0.13881666131709683,0.19210370324454987,0.2443763634647882,0.7677475176097697,3.596388235977823,0.8468886610211427,1.5570802322348505,2096.4396,1630.3989999999997,Medium
