Binding Energy (eV),Counts
533.08,423298
532.58,552310
532.08,703462
531.58,832857
531.08,933809
530.58,1.02E+06
530.08,1.03E+06
529.58,826189
529.08,517583
528.58,290700
528.08,193689
527.58,159548
527.08,147224
526.58,144943
526.08,138472
525.58,136791
525.08,132717
524.58,131679
524.08,131302
523.58,129633
523.08,128751
522.58,127824
522.08,125717
521.58,126075
521.08,127252
520.58,126643
520.08,123165
519.58,125331
519.08,124517
518.58,125840
518.08,123619
517.58,124438
517.08,121260
516.58,124051
516.08,125578
515.58,122565
515.08,123234
514.58,123144
514.08,123004
513.58,126125
513.08,125240
512.58,124879
512.08,126398
511.58,124922
511.08,126174
510.58,123036
510.08,124980
509.58,125214
509.08,127098
508.58,126881
508.08,127590
507.58,128569
507.08,127420
506.58,127440
506.08,127152
505.58,127639
505.08,129438
504.58,126793
504.08,128243
503.58,127963
503.08,131429
502.58,133110
502.08,129913
501.58,131105
501.08,131826
500.58,135017
500.08,137072
499.58,142536
499.08,143040
498.58,141818
498.08,144189
497.58,142548
497.08,139165
496.58,134361
496.08,135094
495.58,133279
495.08,133126
494.58,129567
494.08,131437
493.58,129027
493.08,127249
492.58,126721
492.08,127903
491.58,123874
491.08,122844
490.58,124345
490.08,127158
489.58,127759
489.08,128095
488.58,130337
488.08,123604
487.58,124955
487.08,128015
486.58,127372
486.08,127760
485.58,125849
485.08,126209
484.58,126257
484.08,126453
483.58,129444
483.08,125629
482.58,127965
482.08,127647
481.58,129207
481.08,126758
480.58,127293
480.08,128108
479.58,127240
479.08,128907
478.58,127207
478.08,129355
477.58,132653
477.08,132423
476.58,132843
476.08,133658
475.58,133985
475.08,135554
474.58,130546
474.08,132142
473.58,129446
473.08,129574
472.58,129597
472.08,126832
471.58,125868
471.08,126308
470.58,127624
470.08,129003
469.58,127130
469.08,127057
468.58,126396
468.08,124426
467.58,125745
467.08,127776
466.58,126657
466.08,126476
465.58,126683
465.08,126594
464.58,126882
464.08,127157
463.58,128013
463.08,126339
462.58,125497
462.08,126441
461.58,128875
461.08,130145
460.58,128927
460.08,128925
459.58,130746
459.08,125497
458.58,127906
458.08,128138
457.58,127311
457.08,129518
456.58,126081
456.08,126860
455.58,127571
455.08,127788
454.58,128374
454.08,126941
453.58,129895
453.08,128166
452.58,129547
452.08,129808
451.58,128003
451.08,126532
450.58,131626
450.08,130072
449.58,130068
449.08,129945
448.58,129973
448.08,130233
447.58,131016
447.08,131851
446.58,130375
446.08,131717
445.58,128482
445.08,129018
444.58,130828
444.08,132114
443.58,132385
443.08,131674
442.58,133705
442.08,133587
441.58,133929
441.08,136277
440.58,136716
440.08,137345
439.58,137358
439.08,137069
438.58,134744
438.08,134979
437.58,134862
437.08,133083
436.58,132878
436.08,134023
435.58,132827
435.08,132333
434.58,131973
434.08,130215
433.58,133888
433.08,131809
432.58,133656
432.08,133889
431.58,131575
431.08,134090
430.58,131903
430.08,133263
429.58,131584
429.08,135824
428.58,132530
428.08,133231
427.58,134539
427.08,135029
426.58,133729
426.08,133864
425.58,134812
425.08,133840
424.58,136546
424.08,136052
423.58,133857
423.08,135772
422.58,133480
422.08,135047
421.58,135376
421.08,136308
420.58,134221
420.08,134009
419.58,133519
419.08,137685
418.58,134155
418.08,135742
417.58,135568
417.08,133081
416.58,134956
416.08,135438
415.58,135575
415.08,134701
414.58,136541
414.08,135084
413.58,136549
413.08,135965
412.58,135170
412.08,137164
411.58,136090
411.08,138393
410.58,137499
410.08,137038
409.58,136983
409.08,137339
408.58,137310
408.08,137186
407.58,136220
407.08,136351
406.58,139041
406.08,138279
405.58,136029
405.08,137827
404.58,137928
404.08,139060
403.58,137264
403.08,138692
402.58,139277
402.08,140407
401.58,143307
401.08,140179
400.58,144623
400.08,142521
399.58,144659
399.08,141207
398.58,141781
398.08,139860
397.58,141077
397.08,142707
396.58,141291
396.08,139850
395.58,141374
395.08,142180
394.58,141597
394.08,139384
393.58,141439
393.08,141879
392.58,141449
392.08,144346
391.58,142327
391.08,141608
390.58,142618
390.08,143666
389.58,141900
389.08,142347
388.58,142573
388.08,143920
387.58,141030
